HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
"Tulsa, OK","4,185",486,"1,783","2,984",159,323,"1,070,712","213,442","214,142","44,742","9,657"
"Tupelo, MS","1,634",104,818,"1,226",61,83,"308,796","61,185","61,759","12,897","2,782"
"Tuscaloosa, AL","1,066",143,297,681,37,90,"215,194","37,920","43,039","8,898","1,896"
"Tyler, TX","1,338",224,527,932,127,176,"437,181","98,736","87,436","18,489","4,048"
"Urbana, IL","1,047",99,480,764,54,77,"361,763","69,031","72,353","15,059","3,235"
"Ventura, CA","1,087",163,278,682,94,128,"669,683","124,579","133,937","27,815","5,959"
"Victoria, TX",574,46,352,463,18,32,"115,052","25,536","23,010","4,857","1,061"
"Waco, TX",720,60,261,490,24,42,"264,389","54,218","52,878","11,077","2,398"
"Washington, DC","5,055",601,"1,595","3,325",218,409,"2,179,021","378,878","435,804","90,001","19,152"
"Waterloo, IA",668,36,340,504,19,28,"167,837","36,303","33,567","7,067","1,539"
"Wausau, WI",403,72,152,278,45,59,"150,679","36,287","30,136","6,415","1,415"
"White Plains, NY","2,973",243,597,"1,785",137,190,"896,882","178,478","179,376","37,473","8,086"
"Wichita Falls, TX",516,24,298,407,8,16,"154,615","31,786","30,923","6,479","1,403"
"Wichita, KS","4,590",442,"2,225","3,407",202,322,"951,715","198,669","190,343","39,940","8,664"
"Wilkes-Barre, PA",651,102,263,457,24,63,"198,135","47,118","39,627","8,424","1,856"
"Wilmington, DE","1,845",237,601,"1,223",62,149,"637,120","120,121","127,424","26,493","5,684"
"Wilmington, NC","1,005",90,251,628,17,54,"385,088","91,585","77,018","16,374","3,607"
"Winchester, VA","1,051",84,357,704,22,53,"350,240","74,330","70,048","14,721","3,200"
"Winston-Salem, NC","2,870",499,843,"1,857",40,269,"899,862","197,294","179,972","37,943","8,278"
"Worcester, MA","1,525",169,425,975,43,106,"652,386","122,123","130,477","27,111","5,812"
"Yakima, WA",369,58,200,285,33,45,"220,972","40,707","44,194","9,170","1,963"
"York, PA",868,79,267,567,8,43,"343,334","73,773","68,667","14,448","3,145"
"Youngstown, OH","1,555",158,543,"1,049",66,112,"493,628","124,167","98,726","21,117","4,685"
